dev_mode_guard_modeling.patch	Patch modeling guard behavior for dev-mode restrictions.	Medium
src/channels/cli.rs	CLI channel bridging user input/output to runtime channel interface.	High
src/channels/traits.rs	Defines channel trait abstractions for send/listen/health semantics.	High
src/channels/email_channel.rs	Email channel implementation handling SMTP/IMAP messaging.	High
src/channels/mod.rs	Channel factory wiring available transports for command loop.	High
src/channels/slack.rs	Slack channel adapter translating events between workspace and agent.	High
src/channels/matrix.rs	Matrix bridge handling room sync and message delivery.	High
src/channels/whatsapp.rs	Whatsapp channel integrating webhook-driven messaging with runtime.	High
src/channels/discord.rs	Discord channel adapter managing gateway sockets and commands.	High
src/channels/irc.rs	IRC channel wrapper managing legacy text chat interactions.	High
src/channels/telegram.rs	Telegram channel handling bot polling/webhook flows.	High
src/channels/imessage.rs	iMessage channel bridging Apple messaging to runtime.	High
src/cron/scheduler.rs	Cron scheduler drives periodic tasks for runtime maintenance.	High
src/cron/mod.rs	Cron module exports scheduler and helper utilities.	High
src/gateway/mod.rs	Gateway server setup for webhook HTTP listeners.	High
src/service/mod.rs	Service module orchestrates background tasks and lifecycle hooks.	High
src/skills/symlink_tests.rs	Tests validating symlink behavior in skill-loading scenarios.	Medium
src/skills/mod.rs	Skill registry and loading logic for attached capabilities.	High
src/main.rs	CLI entrypoint orchestrating commands and runtime initialization.	High
src/migration.rs	Handles state and schema migrations across releases.	High
src/skillforge/evaluate.rs	SkillForge evaluator scoring generated responses or skills.	High
src/skillforge/mod.rs	SkillForge orchestrator wiring evaluation, scouting, integration flows.	High
src/skillforge/scout.rs	Scout component inspects skill capabilities and metadata.	High
src/skillforge/integrate.rs	Integration helpers register new skills with runtime pipeline.	High
src/daemon/mod.rs	Daemon module handles background agent supervision.	High
src/identity.rs	Manages agent identity, pairing tokens, and secrets.	High
src/heartbeat/engine.rs	Heartbeat engine monitors liveness and reports health.	High
src/heartbeat/mod.rs	Heartbeat module exposes health pacing utilities.	High
src/integrations/mod.rs	Integrations registry layering connectors/imported tooling.	High
src/integrations/registry.rs	Registry enumerating integration descriptors and metadata.	High
src/tunnel/tailscale.rs	Tailscale tunnel implementation managing tailnet sessions.	High
src/tunnel/mod.rs	Tunnel module wiring providers for runtime networking.	High
src/tunnel/none.rs	No-op tunnel for local-only deployments.	High
src/tunnel/custom.rs	Custom tunnel facade letting users swap networking backends.	High
src/tunnel/ngrok.rs	ngrok tunnel helper launching secure tunnels programmatically.	High
src/tunnel/cloudflare.rs	Cloudflare tunnel integration for ingress.	High
src/onboard/wizard.rs	Onboarding wizard guides users through initial configuration.	High
src/onboard/mod.rs	Onboarding module exposing wizard flows and state.	High
Cargo.lock	Cargo lockfile tracking precise crate versions.	Medium
src/observability/traits.rs	Defines observer abstractions for logs, metrics, traces.	High
src/observability/noop.rs	No-op observer used when metrics/traces disabled.	High
src/observability/mod.rs	Observability module wiring chosen observers.	High
src/observability/otel.rs	OTel exporter streaming telemetry to OpenTelemetry backends.	High
src/observability/log.rs	Structured logging observer formatting runtime events.	High
src/observability/multi.rs	Multi-observer fan-out for logging and tracing.	High
SECURITY.md	Security policy and responsible disclosure instructions.	Low
src/lib.rs	Library exports modules, CLI enums, and shared utilities.	High
AGENTS.md	Agent-specific workflow, constraints, and validation matrix.	Low
rust-toolchain.toml	Rust toolchain pinning and overrides.	Medium
docker-compose.yml	Docker compose orchestrating services for local dev.	Medium
src/agent/mod.rs	Agent orchestration helpers for runtime loop components.	High
src/agent/loop_.rs	Main loop managing ticks, actions, and effects.	High
LICENSE	Apache-2.0 license terms.	Low
deny.toml	Cargo deny configuration for dependency auditing.	Medium
dev/docker-compose.yml	Developer compose file for sandbox stack.	Medium
dev/config.template.toml	Template config sample for local development.	Medium
Cargo.toml	Defines workspace crates, dependencies, and features.	Medium
CHANGELOG.md	Release notes listing changes.	Low
Dockerfile	Build instructions for container image.	Medium
src/util.rs	Utility helpers shared across modules.	High
tests/whatsapp_webhook_security.rs	Tests verifying WhatsApp webhook security.	Medium
src/security/secrets.rs	Secret store abstractions and encryption helpers.	High
src/security/pairing.rs	Pairing logic for agent onboarding connections.	High
src/security/mod.rs	Security module wiring policies, pairing, secrets.	High
tests/memory_comparison.rs	Tests comparing memory backend behaviors.	Medium
src/security/policy.rs	Defines security policies and enforcement rules.	High
tests/dockerignore_test.rs	Ensures generated dockerignore matches expected.	Medium
zero-claw.jpeg	Promotional JPEG depicting ZeroClaw logo.	Low
dev/sandbox/Dockerfile	Sandbox-specific Dockerfile for testing environment.	Medium
examples/custom_provider.rs	Example showing how to implement custom provider.	Medium
examples/custom_channel.rs	Example building custom channel adapter.	Medium
examples/custom_memory.rs	Example memory backend for evaluation.	Medium
dev/README.md	Developer notes for sandbox and tooling.	Medium
examples/custom_tool.rs	Example implementing custom tool integration.	Medium
dev/cli.sh	Developer script wrapping CLI for sandbox runs.	Medium
CONTRIBUTING.md	Contribution guidelines and workflow expectations.	Low
README.md	Project overview, prerequisites, and quick start.	Low
scripts/test_dockerignore.sh	Script validating dockerignore generation consistency.	Medium
src/providers/openai.rs	OpenAI provider wrapper with resilience layers.	High
src/providers/reliable.rs	Reliable provider bridging failover between sources.	High
src/providers/anthropic.rs	Anthropic provider integration with schema validation.	High
src/providers/traits.rs	Provider trait definitions for request handling.	High
src/providers/router.rs	Router directing requests to correct provider.	High
src/providers/mod.rs	Provider module exposing available engines.	High
src/providers/ollama.rs	Ollama provider wiring local LLM runner.	High
src/providers/compatible.rs	Compatibility layer mapping provider APIs.	High
src/providers/openrouter.rs	OpenRouter provider integration.	High
src/providers/gemini.rs	Gemini provider wrapper.	High
zeroclaw.png	PNG logo asset.	Low
src/tools/shell.rs	Shell tool executing commands in sandbox.	High
src/tools/memory_store.rs	Tool storing memory entries into backend.	High
src/tools/memory_forget.rs	Tool removing memories by filter.	High
src/tools/composio.rs	Composio tool orchestrating nested prompt composition flows.	High
src/tools/browser.rs	Browser tool automating web interactions.	High
